coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	3
10	1
11	3
12	2
13	0
14	2
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	2
51	0
52	0
53	7
54	11
55	9
56	8
57	6
58	8
59	17
60	18
61	39
62	29
63	48
64	62
65	47
66	70
67	95
68	83
69	89
70	94
71	86
72	107
73	106
74	109
75	101
76	126
77	153
78	114
79	95
80	107
81	122
82	112
83	90
84	100
85	87
86	108
87	140
88	134
89	173
90	219
91	191
92	218
93	188
94	182
95	156
96	197
97	182
98	186
99	177
100	192
101	182
102	151
103	177
104	234
105	199
106	236
107	243
108	244
109	232
110	237
111	209
112	275
113	260
114	273
115	282
116	250
117	249
118	276
119	265
120	314
121	272
122	332
123	343
124	305
125	289
126	255
127	253
128	261
129	221
130	206
131	239
132	279
133	300
134	316
135	274
136	308
137	300
138	277
139	259
140	250
141	268
142	256
143	229
144	272
145	293
146	275
147	277
148	261
149	255
150	240
151	279
152	236
153	200
154	183
155	204
156	156
157	181
158	146
159	151
160	144
161	161
162	154
163	166
164	119
165	124
166	106
167	117
168	110
169	90
170	105
171	99
172	95
173	84
174	69
175	62
176	79
177	81
178	99
179	72
180	71
181	91
182	84
183	65
184	76
185	67
186	55
187	63
188	60
189	56
190	65
191	48
192	66
193	43
194	45
195	49
196	38
197	22
198	38
199	45
200	50
201	37
202	32
203	29
204	30
205	27
206	15
207	19
208	20
209	16
210	23
211	18
212	9
213	15
214	17
215	16
216	10
217	15
218	7
219	11
220	8
221	4
222	11
223	15
224	8
225	10
226	7
227	11
228	6
229	13
230	2
231	12
232	11
233	14
234	16
235	14
236	18
237	13
238	19
239	15
240	24
241	23
242	22
243	24
244	22
245	24
246	29
247	24
248	26
249	23
250	22
251	15
252	10
253	18
254	25
255	13
256	15
257	18
258	14
259	17
260	16
261	2
262	7
263	3
264	8
265	7
266	8
267	12
268	7
269	7
270	4
271	5
272	8
273	4
274	3
275	4
276	4
277	3
278	1
279	2
280	0
281	1
