coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	1
11	0
12	3
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	1
22	1
23	8
24	5
25	1
26	6
27	18
28	4
29	2
30	2
31	2
32	4
33	11
34	5
35	22
36	4
37	7
38	18
39	6
40	7
41	2
42	2
43	4
44	1
45	4
46	0
47	5
48	7
49	0
50	5
51	17
52	14
53	27
54	37
55	38
56	51
57	42
58	47
59	86
60	92
61	92
62	83
63	49
64	50
65	71
66	71
67	66
68	50
69	62
70	54
71	53
72	61
73	53
74	32
75	36
76	31
77	35
78	26
79	28
80	28
81	24
82	19
83	19
84	20
85	16
86	6
87	12
88	12
89	8
90	11
91	5
92	2
