coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	1
40	0
41	1
42	1
43	5
44	5
45	3
46	2
47	1
48	5
49	6
50	27
51	17
52	12
53	11
54	13
55	8
56	17
57	16
58	12
59	17
60	19
61	12
62	25
63	25
64	40
65	44
66	41
67	40
68	41
69	43
70	62
71	61
72	65
73	64
74	55
75	52
76	48
77	62
78	57
79	54
80	72
81	72
82	79
83	63
84	78
85	63
86	69
87	64
88	73
89	82
90	63
91	85
92	91
93	95
94	83
95	89
96	80
97	103
98	83
99	129
100	117
101	127
102	127
103	115
104	121
105	116
106	120
107	99
108	122
109	124
110	116
111	117
112	123
113	134
114	130
115	149
116	157
117	189
118	163
119	148
120	179
121	153
122	161
123	203
124	187
125	178
126	153
127	162
128	148
129	191
130	153
131	147
132	118
133	149
134	175
135	181
136	208
137	186
138	193
139	196
140	169
141	163
142	176
143	141
144	156
145	149
146	168
147	190
148	163
149	155
150	158
151	153
152	150
153	181
154	166
155	145
156	148
157	127
158	122
159	128
160	99
161	80
162	90
163	86
164	86
165	69
166	62
167	47
168	42
169	49
170	57
171	50
172	53
173	43
174	55
175	57
176	66
177	76
178	86
179	93
180	82
181	94
182	85
183	87
184	62
185	55
186	61
187	48
188	66
189	78
190	64
191	64
192	57
193	39
194	46
195	43
196	44
197	40
198	43
199	38
200	43
201	42
202	41
203	43
204	38
205	28
206	50
207	39
208	42
209	27
210	41
211	34
212	44
213	44
214	46
215	41
216	36
217	20
218	35
219	43
220	45
221	50
222	40
223	28
224	27
225	19
226	31
227	19
228	31
229	34
230	35
231	33
232	22
233	30
234	31
235	24
236	14
237	15
238	15
239	12
240	11
241	11
242	20
243	8
244	6
245	8
246	6
247	10
248	5
249	11
250	10
251	9
252	7
253	12
254	11
255	3
256	13
257	5
258	9
259	4
260	4
261	4
262	3
263	1
264	4
265	3
266	3
267	6
268	4
269	4
270	1
271	2
272	2
273	5
274	2
275	1
276	4
277	2
278	2
279	1
280	0
281	4
282	4
283	2
284	1
285	0
286	1
