coverage	n
1	0
2	0
3	0
4	5
5	0
6	0
7	0
8	7
9	29
10	58
11	91
12	180
13	231
14	369
15	429
16	593
17	825
18	1131
19	1587
20	1759
21	2159
22	2696
23	2901
24	3066
25	3436
26	3486
27	3737
28	3977
29	3912
30	3809
31	3406
32	3362
33	3191
34	2611
35	2435
36	1935
37	1630
38	1427
39	1300
40	1070
41	826
42	728
43	617
44	554
45	572
46	435
47	322
48	250
49	212
50	221
51	175
52	157
53	135
54	114
55	120
56	65
57	75
58	78
59	59
60	37
61	21
62	13
63	10
64	25
65	13
66	21
67	14
68	8
69	14
70	5
71	2
72	4
73	4
74	1
75	0
76	2
77	1
