coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	1
150	0
151	1
152	3
153	3
154	2
155	3
156	1
157	6
158	9
159	4
160	4
161	6
162	18
163	10
164	15
165	10
166	12
167	6
168	10
169	8
170	7
171	6
172	4
173	8
174	3
175	2
176	2
177	2
178	3
179	5
180	8
181	5
182	5
183	7
184	7
185	2
186	3
187	6
188	5
189	8
190	6
191	6
192	10
193	11
194	9
195	8
196	10
197	13
198	9
199	9
200	9
201	8
202	21
203	10
204	9
205	6
206	10
207	14
208	14
209	11
210	13
211	12
212	23
213	15
214	18
215	20
216	8
217	21
218	20
219	9
220	14
221	12
222	12
223	18
224	15
225	8
226	5
227	9
228	5
229	11
230	13
231	9
232	13
233	9
234	4
235	11
236	23
237	5
238	5
239	10
240	13
241	8
242	7
243	10
244	7
245	3
246	6
247	14
248	8
249	5
250	12
251	8
252	6
253	11
254	9
255	8
256	8
257	11
258	10
259	5
260	10
261	4
262	5
263	0
264	2
265	1
266	1
267	1
268	0
269	1
270	2
271	2
272	2
273	3
274	1
