coverage	n
1	168
2	1
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	1
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	1
42	2
43	2
44	6
45	1
46	1
47	0
48	7
49	14
50	5
51	11
52	8
53	4
54	6
55	2
56	2
57	17
58	8
59	12
60	6
61	7
62	7
63	14
64	10
65	18
66	36
67	26
68	38
69	36
70	29
71	51
72	62
73	35
74	41
75	57
76	61
77	51
78	73
79	70
80	82
81	75
82	61
83	87
84	72
85	71
86	46
87	33
88	32
89	35
90	27
91	24
92	39
93	32
94	35
95	32
96	20
97	21
98	8
99	10
100	15
101	11
102	14
103	9
104	6
105	3
106	2
107	17
108	11
109	7
110	9
111	8
112	3
113	5
114	4
115	3
116	0
117	0
118	2
119	3
120	2
