coverage	n
1	0
2	0
3	3
4	0
5	7
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	3
19	0
20	9
21	3
22	13
23	5
24	2
25	0
26	8
27	17
28	14
29	23
30	7
31	2
32	3
33	2
34	0
35	0
36	0
37	1
38	0
39	1
40	10
41	1
42	2
43	12
44	8
45	4
46	9
47	23
48	35
49	28
50	26
51	26
52	33
53	57
54	50
55	28
56	33
57	27
58	44
59	60
60	68
61	67
62	66
63	98
64	77
65	73
66	56
67	53
68	49
69	56
70	44
71	52
72	45
73	32
74	29
75	36
76	26
77	25
78	24
79	25
80	18
81	13
82	13
83	10
84	5
85	5
86	3
87	3
88	10
89	3
90	8
91	6
92	8
93	7
94	10
95	3
96	10
97	5
98	1
99	1
100	0
101	1
102	0
103	10
104	3
105	5
106	2
107	1
