coverage	n
1	7
2	0
3	16
4	15
5	8
6	32
7	53
8	150
9	267
10	500
11	601
12	947
13	1297
14	1759
15	2634
16	3506
17	4630
18	5422
19	6458
20	8394
21	10194
22	11855
23	13053
24	14407
25	15243
26	15857
27	16676
28	16471
29	16515
30	15559
31	15270
32	13938
33	13354
34	12051
35	10585
36	9688
37	8739
38	7972
39	6664
40	5310
41	4487
42	3760
43	3151
44	2627
45	2062
46	1617
47	1273
48	1028
49	780
50	633
51	472
52	354
53	245
54	174
55	94
56	57
57	48
58	28
59	19
60	16
61	30
62	20
63	15
64	21
65	16
66	19
67	10
68	1
69	2
70	4
71	3
72	1
73	2
