coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	7
18	0
19	0
20	6
21	1
22	1
23	4
24	2
25	4
26	1
27	3
28	3
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	3
52	7
53	16
54	10
55	9
56	13
57	6
58	11
59	14
60	23
61	9
62	9
63	13
64	5
65	12
66	13
67	5
68	13
69	24
70	15
71	14
72	19
73	9
74	14
75	13
76	14
77	31
78	25
79	33
80	36
81	39
82	30
83	51
84	50
85	48
86	44
87	33
88	27
89	23
90	23
91	45
92	37
93	18
94	23
95	24
96	22
97	37
98	31
99	43
100	48
101	46
102	35
103	26
104	49
105	38
106	27
107	20
108	11
109	5
110	10
111	10
112	10
113	8
114	6
115	4
116	13
117	6
118	15
119	18
120	10
121	6
122	13
123	7
124	5
125	8
126	5
127	9
128	5
129	2
130	1
131	4
132	5
133	2
134	3
135	9
136	3
137	6
138	8
139	8
140	9
141	5
142	2
143	1
