coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	1
19	1
20	1
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	1
104	0
105	2
106	1
107	3
108	7
109	6
110	9
111	0
112	2
113	1
114	4
115	8
116	10
117	2
118	18
119	18
120	31
121	16
122	19
123	9
124	10
125	8
126	15
127	11
128	15
129	15
130	14
131	12
132	8
133	12
134	13
135	10
136	19
137	25
138	10
139	15
140	10
141	4
142	8
143	8
144	21
145	12
146	16
147	13
148	20
149	23
150	27
151	22
152	21
153	23
154	12
155	29
156	14
157	20
158	30
159	20
160	11
161	21
162	18
163	9
164	16
165	17
166	10
167	13
168	9
169	8
170	10
171	8
172	13
173	13
174	7
175	10
176	12
177	13
178	7
179	8
180	7
181	10
182	4
183	2
184	2
185	5
186	2
187	2
188	2
189	1
190	0
191	1
192	3
193	4
194	0
195	1
196	0
197	0
198	0
199	0
200	0
201	1
202	1
203	1
204	1
