coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	4
63	6
64	4
65	4
66	7
67	13
68	7
69	8
70	8
71	15
72	7
73	5
74	11
75	17
76	29
77	12
78	13
79	30
80	29
81	27
82	51
83	39
84	29
85	30
86	23
87	35
88	34
89	41
90	32
91	37
92	35
93	33
94	36
95	37
96	46
97	36
98	31
99	44
100	61
101	48
102	49
103	26
104	42
105	36
106	48
107	50
108	39
109	52
110	62
111	37
112	37
113	26
114	32
115	38
116	26
117	25
118	19
119	19
120	25
121	24
122	19
123	15
124	15
125	14
126	23
127	21
128	15
129	11
130	12
131	3
132	2
133	5
134	8
135	3
136	4
137	1
138	5
139	5
140	0
141	0
142	0
143	0
144	0
145	3
146	5
147	3
