coverage	n
1	0
2	1
3	7
4	20
5	23
6	104
7	93
8	55
9	127
10	289
11	492
12	620
13	845
14	1472
15	1865
16	2574
17	3398
18	4391
19	5446
20	6545
21	7525
22	8282
23	9340
24	9564
25	10501
26	11094
27	11616
28	11320
29	12065
30	11602
31	11065
32	10905
33	10348
34	9346
35	8608
36	7821
37	6550
38	5826
39	5348
40	4419
41	3701
42	3155
43	2594
44	2021
45	1591
46	1407
47	1031
48	893
49	727
50	559
51	401
52	328
53	270
54	165
55	117
56	69
57	74
58	59
59	40
60	33
61	16
62	15
63	15
64	10
65	7
66	2
67	3
68	0
69	1
70	4
71	2
72	1
