coverage	n
1	0
2	0
3	6
4	6
5	21
6	25
7	29
8	54
9	71
10	131
11	175
12	318
13	476
14	524
15	580
16	731
17	910
18	1073
19	1154
20	1275
21	1637
22	1856
23	2011
24	2238
25	2287
26	2730
27	3037
28	3547
29	3538
30	3793
31	3999
32	3941
33	4167
34	4042
35	3859
36	3514
37	3414
38	2893
39	2723
40	2582
41	2300
42	2056
43	1842
44	1491
45	1529
46	1198
47	1103
48	917
49	705
50	553
51	468
52	391
53	254
54	232
55	180
56	125
57	63
58	54
59	64
60	54
61	42
62	21
63	13
64	14
65	14
66	14
67	21
68	10
69	2
70	5
71	2
72	1
73	5
74	3
75	2
76	1
77	5
78	10
79	9
80	11
81	6
82	4
83	3
84	0
85	3
86	5
87	9
88	3
89	2
90	2
91	3
92	1
