coverage	n
1	2
2	6
3	1
4	1
5	18
6	3
7	4
8	1
9	1
10	0
11	0
12	0
13	5
14	0
15	5
16	4
17	6
18	2
19	1
20	4
21	1
22	4
23	0
24	1
25	0
26	1
27	2
28	2
29	0
30	1
31	2
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	2
49	2
50	12
51	6
52	23
53	17
54	12
55	13
56	7
57	1
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	1
73	2
74	2
75	2
76	3
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	1
104	1
105	0
106	0
107	1
108	0
109	2
110	0
111	0
112	0
113	2
114	3
115	0
116	0
117	1
118	0
119	0
120	1
121	8
122	3
123	0
124	1
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	1
133	0
134	0
135	0
136	1
137	0
138	0
139	3
140	1
141	1
142	0
143	0
144	1
