coverage	n
1	0
2	0
3	0
4	0
5	0
6	6
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	11
18	6
19	6
20	11
21	11
22	9
23	5
24	14
25	33
26	10
27	6
28	1
29	0
30	2
31	0
32	5
33	7
34	6
35	3
36	13
37	0
38	14
39	6
40	12
41	16
42	11
43	20
44	26
45	24
46	28
47	40
48	29
49	23
50	26
51	9
52	23
53	32
54	27
55	23
56	27
57	27
58	32
59	37
60	27
61	21
62	29
63	40
64	47
65	71
66	70
67	79
68	80
69	72
70	68
71	51
72	33
73	33
74	36
75	47
76	48
77	36
78	49
79	34
80	23
81	9
82	17
83	25
84	11
85	24
86	14
87	5
88	14
89	8
90	1
