coverage	n
1	0
2	0
3	0
4	3
5	0
6	0
7	1
8	5
9	1
10	0
11	1
12	9
13	0
14	0
15	0
16	0
17	0
18	14
19	3
20	6
21	15
22	31
23	58
24	24
25	37
26	67
27	90
28	45
29	95
30	99
31	104
32	128
33	99
34	144
35	144
36	221
37	309
38	327
39	319
40	344
41	361
42	409
43	384
44	419
45	448
46	458
47	508
48	531
49	557
50	534
51	558
52	601
53	589
54	545
55	508
56	536
57	573
58	546
59	611
60	617
61	616
62	613
63	582
64	540
65	497
66	534
67	536
68	541
69	516
70	473
71	496
72	489
73	475
74	406
75	403
76	412
77	333
78	295
79	268
80	269
81	267
82	223
83	183
84	152
85	132
86	127
87	103
88	77
89	89
90	78
91	48
92	69
93	48
94	36
95	32
96	24
97	15
98	23
99	18
100	8
101	8
102	7
103	5
104	6
105	5
106	9
107	8
108	3
109	5
110	3
111	5
112	5
113	7
114	4
115	11
116	4
117	2
