coverage	n
1	0
2	18
3	2
4	1
5	10
6	18
7	56
8	84
9	303
10	334
11	411
12	556
13	777
14	1438
15	2188
16	3098
17	3990
18	4469
19	5761
20	6978
21	7793
22	9057
23	10693
24	12274
25	12865
26	14094
27	14845
28	15840
29	16468
30	15762
31	15510
32	14788
33	14241
34	13450
35	12186
36	11142
37	9986
38	8860
39	7943
40	6834
41	5919
42	5264
43	4491
44	3802
45	2981
46	2643
47	2041
48	1611
49	1366
50	967
51	791
52	611
53	472
54	354
55	200
56	172
57	89
58	56
59	54
60	38
61	35
62	11
63	5
64	7
65	1
66	3
67	1
68	7
69	1
70	0
71	1
