coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	3
55	0
56	7
57	2
58	5
59	3
60	9
61	9
62	24
63	12
64	8
65	11
66	8
67	7
68	6
69	9
70	15
71	6
72	10
73	27
74	18
75	26
76	19
77	24
78	21
79	32
80	28
81	42
82	32
83	28
84	20
85	20
86	39
87	38
88	26
89	36
90	39
91	34
92	32
93	26
94	32
95	23
96	36
97	40
98	41
99	42
100	50
101	48
102	47
103	66
104	45
105	41
106	42
107	30
108	21
109	17
110	21
111	20
112	20
113	8
114	18
115	7
116	11
117	12
118	14
119	7
120	1
121	3
122	6
123	5
124	5
125	4
126	2
127	5
128	3
129	9
130	7
131	4
132	2
133	6
134	11
135	4
136	8
137	6
138	4
139	2
140	4
141	4
142	7
143	2
144	2
145	5
146	5
147	5
148	4
149	1
150	3
