coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	3
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	1
130	2
131	2
132	4
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	3
144	1
145	2
146	0
147	0
148	0
149	1
150	0
151	1
152	2
153	0
154	2
155	0
156	0
157	0
158	3
159	0
160	3
161	5
162	3
163	7
164	3
165	7
166	7
167	5
168	3
169	14
170	4
171	2
172	5
173	6
174	4
175	6
176	7
177	6
178	8
179	6
180	2
181	2
182	2
183	2
184	3
185	4
186	4
187	3
188	1
189	3
190	3
191	4
192	9
193	7
194	3
195	2
196	5
197	3
198	6
199	4
200	0
201	9
202	5
203	12
204	8
205	6
206	6
207	4
208	10
209	6
210	4
211	5
212	4
213	5
214	3
215	3
216	6
217	4
218	1
219	5
220	1
221	1
222	4
223	1
224	0
225	0
226	4
227	2
228	1
229	1
230	1
231	1
232	0
233	1
234	4
235	1
236	0
237	1
238	0
239	1
240	2
241	4
242	3
243	0
244	1
245	1
246	3
247	3
248	2
249	0
250	3
251	2
252	3
253	1
254	1
255	1
256	4
257	3
258	6
259	2
260	0
261	1
262	0
263	0
264	0
265	0
266	0
267	1
268	1
269	4
270	1
271	6
272	5
273	6
274	5
275	8
276	10
277	21
278	9
279	11
280	12
281	6
282	7
283	10
284	14
285	16
286	18
287	7
288	18
289	13
290	19
291	11
292	2
293	3
294	3
295	5
296	3
297	4
298	12
299	13
300	11
301	17
302	6
303	7
304	3
305	4
306	9
307	8
308	10
309	7
310	7
311	6
312	8
313	11
314	11
315	16
316	19
317	12
318	17
319	9
320	9
321	15
322	14
323	8
324	13
325	6
326	13
327	11
328	9
329	13
330	12
331	9
332	7
333	9
334	6
335	3
336	3
337	4
338	8
339	3
340	6
341	7
342	6
343	6
344	3
345	3
346	3
347	7
348	9
349	8
350	4
351	7
352	7
353	4
354	5
355	8
356	7
357	8
358	6
359	9
360	11
361	15
362	15
363	11
364	5
365	6
366	12
367	11
368	7
369	4
370	4
371	1
372	0
373	5
374	1
375	1
376	5
377	1
378	2
379	4
380	8
381	10
382	4
383	3
384	2
385	4
386	7
387	2
388	4
389	1
390	3
391	2
392	3
393	2
394	3
395	4
396	4
397	1
398	0
399	0
400	0
401	2
402	0
403	0
404	1
405	1
406	2
407	0
408	2
409	0
410	2
411	1
412	0
413	1
414	0
415	1
