coverage	n
1	0
2	0
3	0
4	1
5	0
6	1
7	3
8	1
9	0
10	0
11	2
12	0
13	0
14	1
15	0
16	1
17	0
18	0
19	3
20	1
21	0
22	2
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	6
47	8
48	8
49	2
50	10
51	3
52	4
53	6
54	3
55	5
56	5
57	8
58	9
59	14
60	16
61	19
62	17
63	12
64	25
65	10
66	14
67	16
68	14
69	42
70	26
71	29
72	29
73	24
74	12
75	16
76	19
77	21
78	21
79	31
80	16
81	32
82	40
83	35
84	35
85	29
86	23
87	32
88	43
89	38
90	37
91	39
92	38
93	42
94	30
95	46
96	44
97	29
98	33
99	38
100	45
101	47
102	41
103	73
104	61
105	51
106	53
107	54
108	50
109	44
110	38
111	54
112	60
113	49
114	42
115	46
116	51
117	46
118	37
119	45
120	32
121	30
122	46
123	41
124	54
125	33
126	27
127	25
128	14
129	18
130	17
131	11
132	4
133	17
134	19
135	23
136	18
137	11
138	17
139	18
140	9
141	16
142	9
143	12
144	9
145	0
146	13
147	6
148	9
149	10
150	3
151	5
152	5
153	11
154	9
155	11
156	16
157	16
158	17
159	17
160	23
161	25
162	20
163	13
164	9
165	6
166	13
167	9
168	11
169	9
170	4
171	6
172	9
173	4
174	1
175	0
176	0
177	2
178	0
179	0
180	0
181	0
182	1
