coverage	n
1	0
2	1
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	2
17	0
18	0
19	5
20	9
21	0
22	4
23	2
24	8
25	0
26	0
27	0
28	2
29	0
30	5
31	3
32	3
33	4
34	4
35	4
36	5
37	10
38	6
39	24
40	21
41	9
42	11
43	4
44	5
45	4
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	1
80	0
81	1
82	1
83	2
84	1
85	1
86	0
87	0
88	4
89	1
90	3
91	2
92	1
93	0
94	1
95	1
96	0
97	3
98	0
99	0
100	1
101	0
102	1
103	1
104	2
105	0
106	1
107	1
108	2
109	3
110	1
111	1
