coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	2
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	1
64	0
65	1
66	1
67	2
68	1
69	0
70	2
71	1
72	1
73	8
74	2
75	1
76	4
77	4
78	2
79	4
80	4
81	11
82	12
83	12
84	20
85	22
86	18
87	10
88	16
89	21
90	17
91	5
92	7
93	3
94	7
95	9
96	4
97	5
98	8
99	6
100	7
101	7
102	5
103	6
104	13
105	8
106	11
107	26
108	14
109	9
110	10
111	9
112	3
113	9
114	10
115	9
116	7
117	17
118	10
119	15
120	8
121	20
122	14
123	28
124	25
125	28
126	43
127	26
128	40
129	31
130	19
131	19
132	17
133	14
134	22
135	20
136	29
137	9
138	17
139	18
140	21
141	19
142	5
143	14
144	24
145	13
146	19
147	16
148	12
149	12
150	14
151	16
152	19
153	16
154	16
155	12
156	12
157	5
158	6
159	9
160	4
161	13
162	14
163	24
164	22
165	22
166	20
167	15
168	7
169	9
170	2
171	3
172	0
173	2
174	1
175	1
176	0
177	4
178	1
179	4
180	3
181	0
182	0
183	0
184	0
185	0
186	2
187	0
188	2
189	0
190	0
191	2
192	1
