coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	1
18	1
19	0
20	1
21	1
22	0
23	0
24	0
25	0
26	0
27	2
28	5
29	7
30	4
31	9
32	3
33	4
34	1
35	4
36	4
37	6
38	28
39	27
40	41
41	38
42	22
43	15
44	8
45	12
46	36
47	26
48	13
49	13
50	12
51	14
52	13
53	32
54	27
55	35
56	30
57	55
58	43
59	41
60	41
61	34
62	37
63	46
64	33
65	38
66	44
67	37
68	34
69	58
70	36
71	44
72	40
73	55
74	54
75	41
76	60
77	72
78	39
79	60
80	58
81	72
82	39
83	50
84	56
85	35
86	20
87	20
88	17
89	27
90	34
91	33
92	35
93	29
94	27
95	39
96	38
97	15
98	29
99	34
100	48
101	31
102	23
103	30
104	22
105	19
106	19
107	18
108	14
109	14
110	19
111	28
112	18
113	22
114	21
115	33
116	22
117	22
118	40
119	31
120	20
121	23
122	27
123	29
124	18
125	15
126	15
127	2
128	6
129	9
130	4
131	3
132	3
133	2
134	6
135	9
136	3
137	2
138	3
139	0
140	3
141	1
142	3
