coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	2
34	2
35	4
36	9
37	8
38	23
39	5
40	7
41	2
42	4
43	11
44	8
45	2
46	5
47	9
48	7
49	2
50	5
51	1
52	4
53	6
54	7
55	9
56	2
57	2
58	7
59	10
60	6
61	6
62	5
63	22
64	24
65	32
66	48
67	39
68	46
69	49
70	52
71	39
72	44
73	63
74	38
75	49
76	28
77	33
78	28
79	38
80	57
81	49
82	38
83	49
84	30
85	43
86	50
87	45
88	45
89	45
90	31
91	30
92	16
93	12
94	10
95	16
96	11
97	13
98	17
99	13
100	17
101	13
102	7
103	8
104	8
105	5
106	0
107	1
108	1
109	1
110	2
111	2
112	4
113	2
114	1
115	1
116	8
117	2
118	4
119	5
120	2
121	6
122	3
123	3
124	1
125	0
126	1
