coverage	n
1	0
2	0
3	0
4	5
5	11
6	3
7	0
8	8
9	14
10	5
11	34
12	65
13	102
14	137
15	313
16	424
17	531
18	852
19	1021
20	1257
21	1458
22	1746
23	1850
24	2009
25	2211
26	2369
27	2509
28	2415
29	2490
30	2510
31	2448
32	2245
33	2084
34	2011
35	1596
36	1471
37	1352
38	1137
39	852
40	604
41	557
42	502
43	352
44	286
45	188
46	93
47	66
48	42
49	24
50	8
51	7
52	1
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	5
