coverage	n
1	0
2	0
3	2
4	1
5	2
6	0
7	3
8	3
9	5
10	2
11	3
12	3
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	1
52	2
53	0
54	0
55	1
56	0
57	1
58	0
59	3
60	1
61	3
62	4
63	2
64	1
65	0
66	1
67	2
68	5
69	1
70	0
71	0
72	1
73	5
74	0
75	0
76	2
77	1
78	2
79	3
80	0
81	1
82	1
83	0
84	0
85	3
86	1
87	0
88	1
89	2
90	1
91	3
92	4
93	4
94	3
95	0
96	0
97	2
98	4
99	1
100	2
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	1
118	2
119	2
120	1
121	2
122	2
123	1
124	0
125	0
126	2
127	1
