coverage	n
1	0
2	0
3	16
4	30
5	44
6	56
7	80
8	129
9	145
10	173
11	301
12	337
13	497
14	706
15	899
16	972
17	1333
18	1497
19	1920
20	2268
21	2900
22	3350
23	3719
24	3909
25	4517
26	4941
27	5244
28	5486
29	6203
30	6425
31	6693
32	7028
33	6795
34	6641
35	6625
36	6288
37	5946
38	5200
39	4690
40	4519
41	4090
42	3499
43	3278
44	2810
45	2449
46	2192
47	1852
48	1538
49	1310
50	1106
51	1097
52	913
53	748
54	597
55	483
56	440
57	303
58	208
59	146
60	121
61	95
62	65
63	31
64	38
65	40
66	23
67	8
68	16
69	11
70	4
71	15
72	15
73	5
74	4
75	7
76	1
77	0
78	1
79	1
80	2
