coverage	n
1	0
2	0
3	0
4	0
5	3
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	1
16	5
17	41
18	43
19	58
20	60
21	33
22	40
23	42
24	100
25	113
26	115
27	146
28	145
29	206
30	210
31	261
32	282
33	367
34	462
35	429
36	455
37	523
38	509
39	520
40	650
41	662
42	718
43	712
44	779
45	777
46	798
47	829
48	784
49	950
50	910
51	739
52	626
53	668
54	619
55	572
56	378
57	452
58	413
59	369
60	259
61	259
62	222
63	212
64	214
65	166
66	138
67	86
68	81
69	79
70	65
71	54
72	44
73	52
74	42
75	46
76	45
77	44
78	36
79	50
80	44
81	55
82	30
83	34
84	18
85	17
86	20
87	12
88	6
89	8
90	3
91	2
92	0
93	1
94	1
