coverage	n
1	0
2	0
3	0
4	0
5	1
6	1
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	1
24	12
25	9
26	30
27	35
28	33
29	35
30	31
31	25
32	42
33	24
34	12
35	24
36	23
37	53
38	40
39	77
40	40
41	41
42	31
43	45
44	49
45	53
46	66
47	47
48	26
49	30
50	42
51	61
52	72
53	62
54	80
55	83
56	73
57	44
58	71
59	48
60	76
61	74
62	63
63	56
64	68
65	41
66	46
67	70
68	50
69	45
70	23
71	37
72	39
73	36
74	24
75	20
76	23
77	17
78	30
79	40
80	43
81	23
82	29
83	26
84	19
85	24
86	17
87	15
88	12
89	22
90	20
91	8
92	18
93	22
94	20
95	26
96	18
97	15
98	9
99	5
100	17
101	15
102	10
103	12
104	8
105	9
106	15
107	8
108	12
109	8
110	9
111	10
112	2
113	9
114	6
115	4
116	0
117	2
118	2
119	3
120	4
121	3
122	3
123	3
124	3
125	2
