coverage	n
1	1
2	13
3	1
4	5
5	7
6	3
7	4
8	22
9	66
10	64
11	69
12	122
13	157
14	326
15	433
16	437
17	638
18	934
19	1257
20	1554
21	1799
22	1965
23	2311
24	2732
25	2783
26	2712
27	2595
28	2581
29	2724
30	2463
31	2491
32	2296
33	2226
34	1973
35	1802
36	1381
37	1455
38	1157
39	1094
40	948
41	844
42	657
43	503
44	356
45	334
46	220
47	175
48	128
49	91
50	96
51	67
52	24
53	61
54	38
55	21
56	38
57	19
58	31
59	8
60	4
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	2
77	5
78	3
79	3
80	0
81	0
82	2
