coverage	n
1	20
2	12
3	6
4	13
5	26
6	9
7	10
8	7
9	32
10	17
11	5
12	26
13	46
14	41
15	54
16	126
17	148
18	160
19	181
20	232
21	218
22	263
23	309
24	349
25	385
26	456
27	569
28	626
29	706
30	823
31	850
32	922
33	1063
34	1121
35	1230
36	1392
37	1331
38	1456
39	1422
40	1428
41	1406
42	1390
43	1353
44	1197
45	1290
46	1326
47	1254
48	1304
49	1174
50	1189
51	1085
52	1066
53	865
54	767
55	679
56	558
57	425
58	486
59	477
60	395
61	268
62	308
63	255
64	292
65	224
66	220
67	158
68	133
69	87
70	81
71	72
72	55
73	46
74	37
75	49
76	22
77	18
78	22
79	7
80	4
81	13
82	9
83	3
84	15
85	4
86	10
87	7
88	14
89	14
90	22
91	21
92	21
93	10
94	17
95	20
96	10
97	12
98	5
99	8
100	11
101	12
102	6
103	2
104	4
105	0
106	2
107	3
108	2
109	1
110	1
