coverage	n
1	1
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	7
22	3
23	5
24	0
25	1
26	4
27	0
28	4
29	1
30	0
31	4
32	0
33	0
34	3
35	0
36	1
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	7
48	1
49	9
50	11
51	4
52	6
53	10
54	19
55	0
56	6
57	10
58	10
59	2
60	14
61	5
62	1
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	1
77	0
78	2
79	1
80	4
81	2
82	0
83	1
84	2
85	2
86	1
87	2
88	0
89	0
90	1
91	1
92	1
93	0
94	0
95	1
96	1
97	2
98	1
99	0
100	3
101	1
102	2
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	1
112	1
113	0
114	1
115	4
116	1
117	1
118	0
119	4
120	1
121	0
122	1
123	0
124	0
125	0
126	2
127	1
